         35876769 function calls (35708270 primitive calls) in 25.571 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      441    0.012    0.000    0.012    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    30380    0.012    0.000    0.083    0.000 indexers.py:52(is_list_like_indexer)
    15771    0.012    0.000    0.012    0.000 blocks.py:319(iget)
     7673    0.012    0.000    0.054    0.000 generic.py:5188(_protect_consolidate)
    69856    0.012    0.000    0.012    0.000 blocks.py:233(mgr_locs)
    32833    0.012    0.000    0.018    0.000 _dtype.py:319(_name_includes_bit_suffix)
    22590    0.012    0.000    0.018    0.000 indexing.py:663(<genexpr>)
    58439    0.012    0.000    0.012    0.000 {built-in method _codecs.utf_8_encode}
   187892    0.011    0.000    0.011    0.000 {method 'popleft' of 'collections.deque' objects}
     5425    0.011    0.000    0.069    0.000 sharedstrings.py:86(_write_si)
    47263    0.011    0.000    0.168    0.000 excel.py:553(_format_regular_rows)
       19    0.011    0.001    0.012    0.001 necompiler.py:765(evaluate)
    11619    0.011    0.000    0.051    0.000 worksheet.py:366(_write_token_as_string)
     5646    0.011    0.000    0.011    0.000 jst_lib.py:230(<lambda>)
     7936    0.011    0.000    0.219    0.000 blocks.py:670(copy)
     7564    0.011    0.000    0.090    0.000 series.py:750(__array__)
    15405    0.011    0.000    0.011    0.000 numpy_.py:50(__init__)
     7530    0.010    0.000    0.013    0.000 cast.py:1728(validate_numeric_casting)
      307    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    24766    0.010    0.000    0.013    0.000 managers.py:206(ndim)
    32145    0.010    0.000    0.010    0.000 generic.py:365(_get_axis_number)
    32849    0.010    0.000    0.010    0.000 _dtype.py:36(_kind_name)
     8887    0.010    0.000    0.011    0.000 base.py:4030(__contains__)
     1258    0.009    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     4852    0.009    0.000    0.009    0.000 jst_lib.py:223(<lambda>)
    55546    0.009    0.000    0.009    0.000 {built-in method pandas._libs.missing.checknull}
    65388    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
    10433    0.009    0.000    0.009    0.000 {pandas._libs.lib.infer_datetimelike_array}
    15080    0.009    0.000    0.010    0.000 base.py:1714(is_integer)
     7630    0.009    0.000    0.313    0.000 blocks.py:244(make_block)
     8193    0.009    0.000    0.018    0.000 <__array_function__ internals>:2(ndim)
     7618    0.008    0.000    0.025    0.000 blocks.py:637(should_store)
    15229    0.008    0.000    0.010    0.000 range.py:448(equals)
    26562    0.008    0.000    0.027    0.000 managers.py:204(<genexpr>)
       10    0.008    0.001    0.081    0.008 xlsx.py:432(process_stream_iterparse)
     7754    0.008    0.000    0.077    0.000 base.py:609(view)
    12203    0.008    0.000    0.008    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
     8383    0.008    0.000    0.008    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     7530    0.008    0.000    0.554    0.000 managers.py:523(setitem)
        5    0.008    0.002    0.008    0.002 worksheet.py:5633(_calculate_spans)
    16755    0.008    0.000    0.008    0.000 base.py:540(_reset_identity)
        1    0.008    0.008    0.008    0.008 backend_qt5.py:98(_create_qApp)
     7884    0.008    0.000    0.045    0.000 <__array_function__ internals>:2(atleast_2d)
       41    0.008    0.000    0.010    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    19689    0.008    0.000    0.057    0.000 base.py:5551(ensure_index)
     7841    0.008    0.000    0.014    0.000 numpy_.py:414(to_numpy)
    15748    0.007    0.000    0.007    0.000 frame.py:567(axes)
    21996    0.007    0.000    0.034    0.000 re.py:184(sub)
     8317    0.007    0.000    0.016    0.000 common.py:608(is_dtype_equal)
    69816    0.007    0.000    0.007    0.000 {built-in method builtins.callable}
      358    0.007    0.000    0.015    0.000 managers.py:228(_rebuild_blknos_and_blklocs)
     7562    0.007    0.000    0.017    0.000 managers.py:660(is_mixed_type)
     7759    0.007    0.000    0.029    0.000 base.py:1176(name)
       29    0.007    0.000    0.007    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     7530    0.007    0.000    0.020    0.000 cast.py:1697(convert_scalar_for_putitemlike)
     7788    0.007    0.000    0.024    0.000 __init__.py:88(get_op_result_name)
    23820    0.007    0.000    0.015    0.000 managers.py:153(blknos)
  519/211    0.007    0.000    0.017    0.000 sre_parse.py:470(_parse)
     7816    0.007    0.000    0.007    0.000 array_ops.py:399(maybe_upcast_datetimelike_array)
     7764    0.007    0.000    0.085    0.000 managers.py:768(copy_func)
